lat;lon
-25.9991026;-52.5657762
-25.99658;-49.33163
-25.9916654;-49.3348785
-25.991621;-49.3349118
-25.9906857;-49.3358551
-25.9905829;-49.3361537
-25.989263;-49.3341301
-25.989147;-49.3359602
-25.98892;-49.34011
-25.9888401031494;-49.3331985473632
-25.98869;-49.34125
-25.9859257;-52.5640298
-25.9845;-49.33359
-25.9843647;-52.5693875
-25.98243;-52.56234
-25.98208;-49.29335
-25.9793144179375;-52.5604137896057
-25.97458;-49.67057
-25.96567;-52.81667
-25.9624195098876;-52.8145294189453
-25.9611011;-48.5964655
-25.95802;-52.8098
-25.95498;-53.12935
-25.9536972;-48.5989019
-25.9466151;-53.1613038
-25.94642;-53.15913
-25.944860458374;-53.1548881530761
-25.94465;-53.16186
-25.9442445;-53.1633093
-25.9439087;-53.1646823
-25.94335;-53.15785
-25.9428196;-53.1628037
-25.93946;-52.17486
-25.9298167;-48.5819882
-25.9230995178222;-49.1783409118652
-25.9167003631591;-52.983299255371
-25.9164902;-53.4734052
-25.91548538208;-51.1270217895507
-25.9128815;-53.4726142
-25.9060384;-53.2580515
-25.9053658;-53.2574678
-25.8924947;-48.5670069
-25.8915465;-48.5707996
-25.8810848;-48.601455
-25.8808727264404;-52.9084281921386
-25.88031;-48.56977
-25.880176;-52.907619
-25.8789879;-50.8254274
-25.87758;-48.59916
-25.8751003;-49.4900799
-25.8743641794244;-50.4061594217059
-25.8730602264404;-49.1467399597167
-25.8713425;-49.5071049
-25.8704837;-50.3839851
-25.869768;-50.4171589
-25.8690496;-49.3663596
-25.8482634;-52.517942
-25.84795;-49.35375
-25.827459;-52.7229866
-25.8236408233642;-53.4812393188476
-25.81808;-53.48167
-25.8176723;-53.4818084
-25.815122;-53.4840382
-25.81437;-53.48488
-25.80986;-53.49012
-25.8095592;-53.4894677
-25.8093151;-48.5472262
-25.80787;-53.02044
-25.7862308;-53.3094089
-25.7831356;-53.5274785
-25.78136;-53.54265
-25.77854;-53.54493
-25.7782737;-49.3267184
-25.77743;-53.52512
-25.7770065;-53.5293174
-25.77697;-53.52786
-25.7767;-53.52567
-25.7762027;-53.5270524
-25.77538;-53.53402
-25.77523;-53.52675
-25.7751;-53.52913
-25.7743203;-49.325371
-25.7734260559082;-53.5224266052246
-25.7726;-53.52957
-25.77226;-53.53066
-25.77142;-53.53101
-25.77139;-53.53644
-25.77127;-53.53426
-25.77115;-53.52753
-25.7709007263183;-53.5365104675292
-25.77087;-53.53371
-25.77056;-53.0537
-25.77024;-53.5363
-25.7697787;-49.3241038
-25.76967;-53.52579
-25.76924;-53.52755
-25.76919;-53.52911
-25.7681918;-53.5289717
-25.76771;-53.53389
-25.7670078;-53.0565694
-25.7668383;-53.063712
-25.76669;-53.07654
-25.76664;-53.06364
-25.76657;-53.05295
-25.7665379;-53.0617134
